srl  l, (iy*)   FDCB3D 4 
srl  a, (iy*)   FDCB3F 4 
inc  ixh        DD24   2 
dec  ixh        DD25   2 
ld   ixh,*      DD26   3 
inc  ixl        DD2C   2 
dec  ixl        DD2D   2 
ld   ixl,*      DD2E   3 
ld   b, ixh     DD44   2 
ld   b, ixl     DD45   2 
ld   c, ixh     DD4C   2 
ld   c, ixl     DD4D   2 
ld   d, ixh     DD54   2 
ld   d, ixl     DD55   2 
ld   e, ixh     DD5C   2 
ld   e, ixl     DD5D   2 
ld   ixh, b     DD60   2 
ld   ixh, c     DD61   2 
ld   ixh, d     DD62   2 
ld   ixh, e     DD63   2 
ld   ixh, ixh   DD64   2 
ld   ixh, ixl   DD65   2 
ld   ixh, a     DD67   2 
ld   ixl, b     DD68   2 
ld   ixl, c     DD69   2 
ld   ixl, d     DD6A   2 
ld   ixl, e     DD6B   2 
ld   ixl, ixh   DD6C   2 
ld   ixl, ixl   DD6D   2 
ld   ixl, a     DD6F   2 
ld   a, ixh     DD7C   2 
ld   a, ixl     DD7D   2 
add  a, ixh     DD84   2 
add  a, ixl     DD85   2 
adc  a, ixh     DD8C   2 
adc  a, ixl     DD8D   2 
sub  ixh        DD94   2 
sub  ixl        DD95   2 
sbc  a, ixh     DD9C   2 
sbc  a, ixl     DD9D   2 
and  ixh        DDA4   2 
and  ixl        DDA5   2 
xor  ixh        DDAC   2 
xor  ixl        DDAD   2 
or   ixh        DDB4   2 
or   ixl        DDB5   2 
cp   ixh        DDBC   2 
cp   ixl        DDBD   2 
inc  iyh        FD24   2 
dec  iyh        FD24   2 
ld   iyh,*      FD26   3 
inc  iyl        FD2C   2 
dec  iyl        FD2D   2 
ld   iyl,*      FD2E   3 
ld   b, iyh     FD44   2 
ld   b, iyl     FD45   2 
ld   c, iyh     FD4C   2 
ld   c, iyl     FD4D   2 
ld   d, iyh     FD54   2 
ld   d, iyl     FD55   2 
ld   e, iyh     FD5C   2 
ld   e, iyl     FD5D   2 
ld   iyh, b     FD60   2 
ld   iyh, c     FD61   2 
ld   iyh, d     FD62   2 
ld   iyh, e     FD63   2 
ld   iyh, iyh   FD64   2 
ld   iyh, iyl   FD65   2 
ld   iyh, a     FD67   2 
ld   iyl, b     FD68   2 
ld   iyl, c     FD69   2 
ld   iyl, d     FD6A   2 
ld   iyl, e     FD6B   2 
ld   iyl, iyh   FD6C   2 
ld   iyl, iyl   FD6D   2 
ld   iyl, a     FD6F   2 
ld   a, iyh     FD7C   2 
ld   a, iyl     FD7D   2 
add  a, iyh     FD84   2 
add  a, iyl     FD85   2 
adc  a, iyh     FD8C   2 
adc  a, iyl     FD8D   2 
sub  iyh        FD94   2 
sub  iyl        FD95   2 
sbc  a, iyh     FD9C   2 
sbc  a, iyl     FD9D   2 
and  iyh        FDA4   2 
and  iyl        FDA5   2 
xor  iyh        FDAC   2 
xor  iyl        FDAD   2 
or   iyh        FDB4   2 
or   iyl        FDB5   2 
cp   iyh        FDBC   2 
cp   iyl        FDBD   2 
sl1  b          CB30   2 
sl1  c          CB31   2 
sl1  d          CB32   2 
sl1  e          CB33   2 
sl1  h          CB34   2 
sl1  l          CB35   2 
sl1  (hl)       CB36   2 
sl1  a          CB37   2 
sl1  (ix*)      DDCB36 4 
sl1  (iy*)      FDCB36 4 
in   f, (c)     ED70   2 
out  f, (c)     ED71   2 
rlc  b, (ix*)   DDCB00 4 
rlc  c, (ix*)   DDCB01 4 
rlc  d, (ix*)   DDCB02 4 
rlc  e, (ix*)   DDCB03 4 
rlc  h, (ix*)   DDCB04 4 
rlc  l, (ix*)   DDCB05 4 
rlc  a, (ix*)   DDCB07 4 
rrc  b, (ix*)   DDCB08 4 
rrc  c, (ix*)   DDCB09 4 
rrc  d, (ix*)   DDCB0A 4 
rrc  e, (ix*)   DDCB0B 4 
rrc  h, (ix*)   DDCB0C 4 
rrc  l, (ix*)   DDCB0D 4 
rrc  a, (ix*)   DDCB0F 4 
rl   b, (ix*)   DDCB10 4 
rl   c, (ix*)   DDCB11 4 
rl   d, (ix*)   DDCB12 4 
rl   e, (ix*)   DDCB13 4 
rl   h, (ix*)   DDCB14 4 
rl   l, (ix*)   DDCB15 4 
rl   a, (ix*)   DDCB17 4 
rr   b, (ix*)   DDCB18 4 
rr   c, (ix*)   DDCB19 4 
rr   d, (ix*)   DDCB1A 4 
rr   e, (ix*)   DDCB1B 4 
rr   h, (ix*)   DDCB1C 4 
rr   l, (ix*)   DDCB1D 4 
rr   a, (ix*)   DDCB1F 4 
sla  b, (ix*)   DDCB20 4 
sla  c, (ix*)   DDCB21 4 
sla  d, (ix*)   DDCB22 4 
sla  e, (ix*)   DDCB23 4 
sla  h, (ix*)   DDCB24 4 
sla  l, (ix*)   DDCB25 4 
sla  a, (ix*)   DDCB27 4 
sra  b, (ix*)   DDCB28 4 
sra  c, (ix*)   DDCB29 4 
sra  d, (ix*)   DDCB2A 4 
sra  e, (ix*)   DDCB2B 4 
sra  h, (ix*)   DDCB2C 4 
sra  l, (ix*)   DDCB2D 4 
sra  a, (ix*)   DDCB2F 4 
sl1  b, (ix*)   DDCB30 4 
sl1  c, (ix*)   DDCB31 4 
sl1  d, (ix*)   DDCB32 4 
sl1  e, (ix*)   DDCB33 4 
sl1  h, (ix*)   DDCB34 4 
sl1  l, (ix*)   DDCB35 4 
sl1  a, (ix*)   DDCB37 4 
srl  b, (ix*)   DDCB38 4 
srl  c, (ix*)   DDCB39 4 
srl  d, (ix*)   DDCB3A 4 
srl  e, (ix*)   DDCB3B 4 
srl  h, (ix*)   DDCB3C 4 
srl  l, (ix*)   DDCB3D 4 
srl  a, (ix*)   DDCB3F 4 
ld  (*), hl     ED63   4 
ld  hl, (*)     ED6B   4 
neg             ED4C   2 
neg             ED54   2 
neg             ED5C   2 
neg             ED64   2 
neg             ED6C   2 
neg             ED74   2 
neg             ED7C   2 
retn            ED55   2 
retn            ED5D   2 
retn            ED65   2 
retn            ED6D   2 
retn            ED75   2 
retn            ED7D   2 
nop ; ED *      ED     2 
add  a, a       87     1 
.db 0DDh        DD     1 
.db 0FDh        FD     1  
